iter	Passed	Remaining
0	0	77
1	1	70
2	2	67
3	2	61
4	3	61
5	3	58
6	4	57
7	4	56
8	5	54
9	5	53
10	6	52
11	7	52
12	7	51
13	8	50
14	8	49
15	9	48
16	9	47
17	10	47
18	10	46
19	11	45
20	11	45
21	12	44
22	13	43
23	13	42
24	14	42
25	14	41
26	15	40
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	35
35	19	35
36	20	34
37	20	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	29
46	25	28
47	26	28
48	26	27
49	27	27
50	27	26
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	36	19
66	37	18
67	38	17
68	38	17
69	39	16
70	40	16
71	40	15
72	41	15
73	42	14
74	42	14
75	43	13
76	44	13
77	44	12
78	45	12
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	49	8
85	49	8
86	50	7
87	50	6
88	51	6
89	52	5
90	52	5
91	53	4
92	54	4
93	54	3
94	55	2
95	55	2
96	56	1
97	57	1
98	57	0
99	58	0
